ADM1_EN,ADM2_EN,ADM3_EN,ADM3_PCODE,ValidPix_Before,ValidPix_After,FAPAR_Before,FAPAR_After,FAPAR_Loss,FAPAR_Loss_Pct,Status,QA_Flag
Chittagong,Comilla,Burichang,BD201918,721,724,0.3279,0.01,0.3179,96.95,Loss,OK
Dhaka,Tangail,Sakhipur,BD309385,1944,1949,0.3268,0.01,0.3168,96.94,Loss,OK
Sylhet,Sylhet,Golabganj,BD609138,1169,1237,0.3254,0.0097,0.3157,97.02,Loss,OK
Mymensingh,Jamalpur,Melandaha,BD453961,1169,1181,0.325,0.0099,0.3151,96.95,Loss,OK
Barisal,Barisal,Gaurnadi,BD100632,656,657,0.3245,0.01,0.3145,96.92,Loss,OK
Dhaka,Narsingdi,Manohardi,BD306852,872,872,0.3245,0.01,0.3145,96.92,Loss,OK
Chittagong,Brahamanbaria,Kasba,BD201263,944,947,0.3239,0.01,0.3139,96.91,Loss,OK
Barisal,Barisal,Hizla,BD100636,578,870,0.3222,0.0084,0.3138,97.39,Loss,OK
Sylhet,Sylhet,Beani Bazar,BD609117,1058,1110,0.3233,0.0098,0.3135,96.97,Loss,OK
Chittagong,Comilla,Debidwar,BD201940,1066,1066,0.3232,0.01,0.3132,96.91,Loss,OK
Sylhet,Sylhet,Zakiganj,BD609194,1127,1176,0.3225,0.0098,0.3127,96.96,Loss,OK
Sylhet,Maulvibazar,Maulvi Bazar Sadar,BD605874,1547,1566,0.3222,0.0099,0.3123,96.93,Loss,OK
Rangpur,Gaibandha,Sadullapur,BD553282,1047,1049,0.3215,0.01,0.3115,96.89,Loss,OK
Chittagong,Brahamanbaria,Ashuganj,BD201233,281,322,0.3209,0.0094,0.3115,97.07,Loss,OK
Rajshahi,Naogaon,Mahadebpur,BD506450,1703,1736,0.3192,0.0099,0.3093,96.9,Loss,OK
Chittagong,Noakhali,Companiganj,BD207521,1059,1268,0.3186,0.0096,0.309,96.99,Loss,OK
Chittagong,Comilla,Comilla Adarsha Sadar,BD201967,461,536,0.3168,0.0093,0.3075,97.06,Loss,OK
Chittagong,Chittagong,Sandwip,BD201578,975,1474,0.3138,0.0085,0.3053,97.29,Loss,OK
Rajshahi,Naogaon,Patnitala,BD506475,1713,1735,0.3148,0.0099,0.3049,96.86,Loss,OK
Chittagong,Comilla,Chandina,BD201927,891,893,0.3148,0.01,0.3048,96.82,Loss,OK
Rajshahi,Naogaon,Badalgachhi,BD506406,941,950,0.3146,0.01,0.3046,96.82,Loss,OK
Chittagong,Noakhali,Begumganj,BD207507,948,1046,0.3133,0.0095,0.3038,96.97,Loss,OK
Mymensingh,Mymensingh,Ishwarganj,BD456131,1235,1247,0.3135,0.01,0.3035,96.81,Loss,OK
Mymensingh,Sherpur,Sreebardi,BD458990,1151,1154,0.3135,0.01,0.3035,96.81,Loss,OK
Sylhet,Sylhet,Dakshin Surma,BD609131,801,855,0.313,0.0097,0.3033,96.9,Loss,OK
Rajshahi,Natore,Bagati Para,BD506909,616,616,0.313,0.01,0.303,96.81,Loss,OK
Sylhet,Sylhet,Bishwanath,BD609120,929,939,0.3121,0.0099,0.3022,96.83,Loss,OK
Chittagong,Cox's Bazar,Pekua,BD202256,388,605,0.3095,0.0082,0.3013,97.35,Loss,OK
Dhaka,Gazipur,Kapasia,BD303336,1525,1582,0.311,0.0098,0.3012,96.85,Loss,OK
Rangpur,Gaibandha,Palashbari,BD553267,841,845,0.3109,0.01,0.3009,96.78,Loss,OK
Dhaka,Tangail,Dhanbari,BD309325,575,579,0.3105,0.01,0.3005,96.78,Loss,OK
Dhaka,Gazipur,Sreepur,BD303386,2064,2082,0.3104,0.01,0.3004,96.78,Loss,OK
Rangpur,Dinajpur,Nawabganj,BD552769,1432,1434,0.3104,0.01,0.3004,96.78,Loss,OK
Mymensingh,Jamalpur,Madarganj,BD453958,1047,1053,0.3103,0.01,0.3003,96.78,Loss,OK
Rajshahi,Naogaon,Dhamoirhat,BD506428,1371,1371,0.3101,0.01,0.3001,96.78,Loss,OK
Khulna,Kushtia,Mirpur,BD405094,1319,1385,0.3096,0.0098,0.2998,96.83,Loss,OK
Rajshahi,Sirajganj,Kamarkhanda,BD508844,421,421,0.3097,0.01,0.2997,96.77,Loss,OK
Rajshahi,Rajshahi,Charghat,BD508125,710,796,0.309,0.0095,0.2995,96.93,Loss,OK
Chittagong,Chandpur,Matlab Uttar,BD201379,927,1195,0.3084,0.0089,0.2995,97.11,Loss,OK
Khulna,Jhenaidah,Shailkupa,BD404480,1659,1662,0.3082,0.01,0.2982,96.76,Loss,OK
Dhaka,Tangail,Ghatail,BD309328,2026,2030,0.308,0.01,0.298,96.75,Loss,OK
Mymensingh,Sherpur,Sherpur Sadar,BD458988,1560,1608,0.3076,0.0099,0.2977,96.78,Loss,OK
Chittagong,Noakhali,Sonaimuri,BD207583,724,777,0.3074,0.0097,0.2977,96.84,Loss,OK
